gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw
77,"Andre Onana, Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Emile Smith Rowe, Erling Haaland, Fabian Schar, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Mario Lemina, Matthijs de Ligt, Ola Aina, Ollie Watkins, Robert Sanchez","Bukayo Saka, Danny Welbeck, Joel Veltman, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Nick Pope, Pedro Porro, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Kai Havertz,,,0.0,0,1,785.1060000000001,FH,1000.0,132.337
78,"Alisson Ramses Becker, Andre Onana, Cole Palmer, Cristian Romero, Diogo Dalot Teixeira, Emile Smith Rowe, Erling Haaland, Gabriel dos Santos Magalhaes, Luis Diaz, Matthijs de Ligt, Nicolas Jackson, Noni Madueke, Ola Aina, Ollie Watkins, Son Heung-min","Alisson Ramses Becker, Cole Palmer, Cristian Romero, Emile Smith Rowe, Erling Haaland, Gabriel dos Santos Magalhaes, Luis Diaz, Nicolas Jackson, Noni Madueke, Ola Aina, Son Heung-min",Noni Madueke,Erling Haaland,"Alisson Ramses Becker, Cristian Romero, Luis Diaz, Nicolas Jackson, Noni Madueke, Son Heung-min","Dwight McNeil, Fabian Schar, Harvey Barnes, Jean-Philippe Mateta, Mario Lemina, Robert Sanchez",925.0,5,1,762.137,TC_Noni Madueke,1000.0,160.726
79,"Alisson Ramses Becker, Andre Onana, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Leif Davis, Luis Diaz, Matthijs de Ligt, Mohamed Salah, Ola Aina, Ollie Watkins","Alisson Ramses Becker, Andre Onana, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Leif Davis, Luis Diaz, Matthijs de Ligt, Mohamed Salah, Ola Aina, Ollie Watkins",Mohamed Salah,Erling Haaland,"Bryan Mbeumo, Dominic Calvert-Lewin, Harvey Barnes, Leif Davis, Mohamed Salah","Cristian Romero, Emile Smith Rowe, Nicolas Jackson, Noni Madueke, Son Heung-min",909.0,4,1,583.3000000000001,BB,925.0,118.69999999999999
80,"Alisson Ramses Becker, Andre Onana, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Leif Davis, Luis Diaz, Matthijs de Ligt, Ola Aina, Ollie Watkins","Andre Onana, Diogo Dalot Teixeira, Dominic Calvert-Lewin, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Leif Davis, Matthijs de Ligt, Ola Aina, Ollie Watkins",Matthijs de Ligt,Gabriel dos Santos Magalhaes,Dwight McNeil,Mohamed Salah,982.0,0,1,405.78,,909.0,136.547
81,"Alisson Ramses Becker, Andre Onana, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Leif Davis, Luis Diaz, Matthijs de Ligt, Nicolas Jackson, Ola Aina, Ollie Watkins","Andre Onana, Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt, Nicolas Jackson, Ollie Watkins",Luis Diaz,Nicolas Jackson,Nicolas Jackson,Dominic Calvert-Lewin,965.0,0,1,264.192,,982.0,121.63
82,"Alisson Ramses Becker, Andre Onana, Bryan Mbeumo, Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Josko Gvardiol, Leif Davis, Liam Delap, Micky van de Ven, Nicolas Jackson, Ola Aina, Ollie Watkins","Andre Onana, Bryan Mbeumo, Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Josko Gvardiol, Liam Delap, Micky van de Ven, Ollie Watkins",Cole Palmer,Dwight McNeil,"Carlos Baleba, Gabriel Martinelli Silva, James Justin, Josko Gvardiol, Liam Delap, Micky van de Ven","Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Matthijs de Ligt",1101.0,5,1,138.562,,965.0,138.562
