GW,player_id,name,position,team,value,opponent_display,is_home_display,num_fixtures,predicted_points
32,503,Ismeal Kabia,mid,Arsenal,45,Brentford,1,1,2.7
32,189,Calvin Bassey,def,Fulham,45,Chelsea,0,1,2.69
32,297,Dean Huijsen,def,Bournemouth,45,Fulham,1,1,2.68
32,476,Henry Cartwright,mid,Leicester,45,Crystal Palace,1,1,2.66
32,28,Alejandro Garnacho,mid,Man United,45,Aston Villa,1,1,2.64
32,1274,Virgil van Dijk,def,Liverpool,65,Newcastle,0,1,2.63
32,1073,Renato Palma Veiga,mid,Chelsea,45,Man City (DGW),0 (DGW),2,2.62
32,385,Ezri Konsa Ngoyo,def,Aston Villa,45,Southampton,0,1,2.61
32,597,Jeremy Doku,mid,Man City,65,Everton,1,1,2.6
32,717,Kenny Tete,def,Fulham,45,Chelsea,0,1,2.6
32,746,Kyle Walker,def,Man City,50,Everton,1,1,2.6
32,18,Adam Wharton,mid,Crystal Palace,50,Nott'm Forest,0,1,2.59
32,981,Nick Pope,gk,Newcastle,50,Wolves,0,1,2.58
32,180,Caleb Wiley,def,Chelsea,40,Man City (DGW),0 (DGW),2,2.57
32,394,Federico Chiesa,mid,Liverpool,70,Newcastle,0,1,2.57
32,641,Joelinton Cassio Apolinario de Lira,mid,Newcastle,60,Wolves,0,1,2.57
32,459,Harrison Reed,mid,Fulham,45,Chelsea,0,1,2.55
32,647,John McGinn,mid,Aston Villa,55,Southampton,0,1,2.55
32,319,Diogo Teixeira da Silva,mid,Liverpool,80,Newcastle,0,1,2.54
32,516,Jack Grealish,mid,Man City,70,Everton,1,1,2.53
32,859,Mark Flekken,gk,Brentford,45,Arsenal,0,1,2.53
32,279,Danilo dos Santos de Oliveira,mid,Nottingham Forest,45,Liverpool,0,1,2.52
32,609,Joachim Andersen,def,Crystal Palace,45,Chelsea,0,1,2.52
32,93,Antonee Robinson,def,Fulham,45,Chelsea,0,1,2.5
32,339,Eberechi Eze,mid,Crystal Palace,55,Nott'm Forest,0,1,2.48
32,708,Kaoru Mitoma,mid,Brighton,50,Leicester,1,1,2.47
32,229,Chris Wood,fwd,Newcastle,60,Liverpool,0,1,2.46
32,269,Dango Ouattara,mid,Bournemouth,50,Fulham,1,1,2.46
32,414,Freddie Ladapo,fwd,Ipswich,45,Brighton,0,1,2.45
32,244,Coby Ebere,mid,Everton,45,Bournemouth,0,1,2.44
32,281,Danny Ward,gk,Leicester,40,Crystal Palace,1,1,2.44
32,372,Eric da Silva Moreira,mid,Nottingham Forest,45,Liverpool,0,1,2.44
32,175,Bryan Mbeumo,mid,Brentford,65,Arsenal,0,1,2.42
32,1154,Savio 'Savinho' Moreira de Oliveira,mid,Man City,65,Everton,1,1,2.41
32,484,Ibrahim Osman,mid,Brighton,50,Leicester,1,1,2.4
32,948,Morgan Rogers,mid,Aston Villa,50,Southampton,0,1,2.4
32,88,Anthony Elanga,mid,Man United,50,Liverpool,0,1,2.39
32,729,Kiernan Dewsbury-Hall,mid,Leicester,50,Man City (DGW),0 (DGW),2,2.39
32,1149,Sander Berge,mid,Burnley,50,Chelsea,0,1,2.39
32,99,Archie Harris,def,Bournemouth,40,Fulham,1,1,2.36
32,617,Joao Pedro Ferreira Silva,mid,Nottingham Forest,60,Liverpool,0,1,2.35
32,701,Kai Havertz,fwd,Arsenal,75,Brentford,1,1,2.35
32,962,Nathan Ake,def,Man City,50,Everton,1,1,2.35
32,1278,Vitor de Oliveira Nunes dos Reis,def,Man City,45,Everton,1,1,2.35
32,121,Bart Verbruggen,gk,Brighton,45,Leicester,1,1,2.34
32,330,Dominik Szoboszlai,mid,Liverpool,70,Newcastle,0,1,2.34
32,838,Manuel Ugarte,mid,Man United,50,Aston Villa,1,1,2.34
32,1071,Remy Rees-Dottin,fwd,Bournemouth,45,Fulham,1,1,2.34
32,1113,Ruben Gato Alves Dias,def,Man City,60,Everton,1,1,2.34
32,885,Mathias Jensen,mid,Brentford,50,Arsenal,0,1,2.33
32,1001,Odsonne Edouard,fwd,Crystal Palace,55,Crystal Palace,1,1,2.33
32,634,Joe Willock,mid,Newcastle,50,Wolves,0,1,2.31
32,936,Milos Kerkez,def,Bournemouth,45,Fulham,1,1,2.31
